code,abbreviation,element,time_period,element_name,description,element_scale,units,symbol
109,CEIL,cloud,hourly,Ceiling,Ceiling,1.0,Coded,wi-cloud
114,CLDTOT,cloud,hourly,Cloud cover; tot,Cloud cover; total,1.0,Octas,wi-cloud
115,CLDOPC,cloud,hourly,Cloud opacty;tot,Cloud opacity; total,1.0,Octas,wi-cloud
116,CLDAM1,cloud,hourly,cloudAmountLevel1,Cloud; amount of the lowest layer,1.0,Octas,wi-cloud
117,TYPCO1,cloud,code,cloudTypeLevel1,Cloud,,,wi-cloud
118,HTCO1,cloud,code,cloudHeightLevel1,Cloud,,,wi-cloud
120,CLDAM2,cloud,hourly,cloudAmountLevel2,Cloud; amount of the second layer,1.0,Octas,wi-cloud
121,CLDTY2,cloud,hourly,cloudTypeLevel2,Cloud; genus of the second layer,1.0,Coded,wi-cloud
122,CLDHT2,cloud,hourly,cloudHeightLevel2,Cloud; height of the second layer,1.0,Coded,wi-cloud
124,CLDAM3,cloud,hourly,cloudAmountLevel3,Cloud; amount of the third layer,1.0,Octas,wi-cloud
125,CLDTY3,cloud,hourly,cloudTypeLevel3,Cloud; genus of the third layer,1.0,Coded,wi-cloud
126,CLDHT3,cloud,hourly,cloudHeightLevel3,Cloud; height of the third layer,1.0,Coded,wi-cloud
128,CLDAM4,cloud,hourly,cloudAmountLevel4,Cloud; amount of the fourth layer,1.0,Octas,wi-cloud
129,CLDTY4,cloud,hourly,cloudTypeLevel4,Cloud; genus of the fourth layer,1.0,Coded,wi-cloud
130,CLDHT4,cloud,hourly,cloudHeightLevel4,Cloud; height of the fourth layer,1.0,Coded,wi-cloud
190,CLDTY1,cloud,hourly,Cloud type,lvl 1,,,wi-cloud
191,LCLOUD,cloud,hourly,Lowest Cloud,Amount of all CsubL or if no CsubL; amount of CsubM,1.0,Octas,wi-cloud
192,LCHGHT,cloud,,Cloud ht,lvl 1,,,wi-cloud
193,MCTYPE,cloud,hourly,Cloud,med,,,wi-cloud
194,MCAMNT,cloud,hourly,Cloud,med ammount,,,wi-cloud
195,HCTYPE,cloud,hourly,Cloud,high type,,,wi-cloud
23,HTDD1,days,daily,HTNG Degree Day1,Heating degree days - Base 1,1.0,Unitless,wi-thermometer
24,HTDD2,days,daily,HTNG Degree Day2,Heating degree days - Base 2,1,Unitless,wi-thermometer
25,CDD1,days,daily,CLNG Degree Day1,Cooling degree days - Base 1,1,Unitless,wi-thermometer-exterior
26,CDD2,days,daily,CLNG Degree Day2,Cooling degree days - Base 2,1,Unitless,wi-thermometer-exterior
27,GDD1,days,daily,GRNG Degree Day1,Growing degree days - Base 1,1,Unitless,wi-thermometer
28,GDD2,days,daily,GRNG Degree Day2,Growing degree days - Base 2,1,Unitless,wi-thermometer
29,DYRAIN,days,daily,Day with Rain,Day with rainfall,1.0,Unitless,wi-rain
30,DYTHND,days,daily,Day with Thunder,Day with thunderstorms,1.0,Unitless,wi-thunderstorm
31,DYHAIL,days,daily,Day with Hail,Day with hail,1.0,Unitless,wi-hail
32,DYFOG,days,daily,Day with Fog,Day with fog,1.0,Unitless,wi-fog
33,DYSAND,days,daily,Day with Dust,Day with blowing sand or dust,1.0,Unitless,wi-sandstorm
34,DYSMOK,days,daily,Day with Smoke,Day with smoke or thick haze,1.0,Unitless,wi-smoke
35,DYSNOW,days,daily,Day with Snow,Day with snow,1.0,Unitless,wi-snow
36,DYBSNW,days,daily,Day with Blw snw,Day with blowing snow,1.0,Unitless,wi-snow-wind
37,DYWND1,days,daily,Day with wind 10,Day with wind greater than 10 meters/sec,1.0,Unitless,wi-wind-beaufort-6
38,DYWND5,days,daily,Day with wind 15,Day with wind greater than 15 meters/sec,1.0,Unitless,wi-wind-beaufort-7
39,DYGLAZ,days,daily,Day with glaze,Day with glazed ice (freezing rain),1.0,Unitless,wi-sleet
40,DYGDRZ,days,daily,Day with drizzle,Day with drizzle,1.0,Unitless,wi-rain-mix
41,DYICEP,days,daily,Day with ice plt,Day with ice pellets,1.0,Unitless,wi-sleet
42,DYTORN,days,daily,Day with tornado,Day with tornado,1.0,Unitless,wi-tornado
18,EVAPPN1,evap,hourly,Evap; pan1 daily,Evaporation; pan1; daily total,0.1,mm,wi-day-rain-mix
19,EVAPLK,evap,hourly,Evap; lake daily,Evaporation; lake; daily total,0.1,Millimeters,wi-day-rain-mix
710,EVPM,evap,,Evapo piche mens,Evaporation as measured by a Piche tube,0.1,Mm,wi-day-rain-mix
86,PHEN1,FRENCH,,PHENO 1,PHENO 1,1.0,Code,
350,U-A,FRENCH,,HUMIDITE SONDAGE,HUMIDITE SONDAGE,1.0,Pourcent,
547,DDVXM,FRENCH,,DD VXM,DD VXM,1.0,Dizaine de Degres,
548,PS8,FRENCH,,PS8,PS8,0.1,Hectopascals,
552,EPNGF,FRENCH,,EPAISSEUR NGF,EPAISSEUR NGF,1.0,Cm,
601,PW1,FRENCH,,PERIODE 1 VAGUES,PERIODE 1 VAGUES,1.0,Code,
602,HW1,FRENCH,,HAUTEUR VAGUES 1,HAUTEUR VAGUES 1,1.0,Code,
603,DW1,FRENCH,,DD VAGUES 1,DD VAGUES 1,1.0,Dizaine de Degres,
604,Is,FRENCH,,ACCU. GLACE,ACCU. GLACE,1.0,Code,
605,EsEs,FRENCH,,EPAISSEUR GLACE,EPAISSEUR GLACE,1.0,Cm,
606,Rs,FRENCH,,VITESSE GLACE,VITESSE GLACE,1.0,Code,
607,Ds,FRENCH,,CAP NAVIRE,CAP NAVIRE,1.0,Code,
608,Vs,FRENCH,,VITESSE NAVIRE,VITESSE NAVIRE,1.0,Code,
609,PW2,FRENCH,,PERIODE 2 VAGUES,PERIODE 2 VAGUES,1.0,Code,
